Brand,Model,Model_Type,Seats,Colors,Fuel_Type,Transmission,On_Road_Price,Location,Availability
Maruti Suzuki,Grand Vitara,SUV,5,1,Petrol,Manual,1311000,Delhi,Available
Mahindra,XUV700,SUV,7,12,Diesel,Manual,2744000,Delhi,Available
Mahindra,Scorpio-N,SUV,7,3,Petrol,Manual,1689000,Delhi,Available
Tata,Punch,SUV,5,2,Petrol,Manual,671000,Delhi,Available
Tata,Nexon,SUV,5,4,Petrol,Manual,1002000,Delhi,Available
Tata,Curvv EV,SUV,5,4,Electric,Automatic,2028000,Delhi,Available
Maruti Suzuki,Swift,Hatchback,5,4,Petrol,Manual,731000,Delhi,Available
Hyundai,Grand i10 Nios,Hatchback,5,3,Petrol,Manual,671000,Delhi,Available
Hyundai,Aura,Sedan,5,1,CNG,Manual,863000,Delhi,Available
Maruti Suzuki,Wagon R,Hatchback,5,3,Petrol,Manual,634000,Delhi,Available
Maruti Suzuki,Celerio,Hatchback,5,6,Petrol,Manual,596000,Delhi,Available
Honda,City,Sedan,5,6,Petrol,Automatic,1659000,Delhi,Available
Renault,Kiger,SUV,5,5,Petrol,Manual,708000,Delhi,Available
Renault,Triber,MPV/MUV,7,2,Petrol,Manual,708000,Delhi,Available
Renault,Kwid,Hatchback,5,5,Petrol,Manual,576000,Delhi,Available
Tata,Nexon EV,SUV,5,4,Electric,Automatic,1587000,Delhi,Available
Hyundai,i20 N Line,Hatchback,5,7,Petrol,Manual,1325000,Delhi,Available
Toyota,Glanza,Hatchback,5,5,Petrol,Manual,1110000,Delhi,Available
Maruti Suzuki,Ertiga,MPV/MUV,7,6,Petrol,Manual,1166000,Delhi,Available
Maruti Suzuki,XL6,SUV,6,6,Petrol,Manual,1359000,Delhi,Available
Maruti Suzuki,Alto K10,Hatchback,5,6,Petrol,Manual,550000,Delhi,Available
Hyundai,Venue N-Line,SUV,5,5,Petrol,Manual,1415000,Delhi,Available
Hyundai,Tucson,SUV,5,5,Petrol,Automatic,3414000,Delhi,Available
Maruti Suzuki,Eeco,Minivan/Van,7,5,Petrol,Manual,643000,Delhi,Available
Kia,Carens,SUV,7,7,Petrol,Manual,1322000,Delhi,Available
Toyota,Urban Cruiser Hyryder,SUV,5,11,Petrol,Automatic,2184000,Delhi,Available
Honda,Elevate,SUV,5,7,Petrol,Manual,1403000,Delhi,Available
Toyota,Rumion,SUV,7,5,Petrol,Automatic,1413000,Delhi,Available
Toyota,Innova Crysta,SUV,8,5,Diesel,Manual,2379000,Delhi,Available
MG,ZS EV,SUV,5,3,Electric,Automatic,1909000,Delhi,Available
MG,Hector Plus,SUV,7,4,Petrol,Manual,2222000,Delhi,Available
MG,Hector,SUV,5,3,Petrol,Manual,1980999,Delhi,Available
MG,Gloster,SUV,7,4,Diesel,Automatic,4809000,Delhi,Available
MG,Comet EV,Hatchback,4,3,Electric,Automatic,902000,Delhi,Available
MG,Astor,SUV,5,2,Petrol,Manual,1335000,Delhi,Available
Kia,Seltos,SUV,5,7,Petrol,Manual,1300000,Delhi,Available
Skoda,Slavia,Sedan,5,4,Petrol,Manual,1582000,Delhi,Available
Skoda,Kushaq,SUV,5,10,Petrol,Manual,1744000,Delhi,Available
Hyundai,Exter,SUV,5,1,Petrol,Manual,673000,Delhi,Available
Maruti Suzuki,Fronx,SUV,5,6,Petrol,Manual,849000,Delhi,Available
Maruti Suzuki,Invicto,SUV,7,4,Petrol,Automatic,2925000,Delhi,Available
Hyundai,Verna,Sedan,5,7,Petrol,Automatic,1909000,Delhi,Available
Tata,Harrier,SUV,5,2,Diesel,Manual,2214000,Delhi,Available
Mahindra,Scorpio Classic,SUV,7,3,Diesel,Manual,1693000,Delhi,Available
Hyundai,i20,Hatchback,5,5,Petrol,Manual,858000,Delhi,Available
